PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Deck,Cabin_num,Side
0001_01,Europa,0,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,B,0,P
0002_01,Earth,0,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,F,0,S
0003_01,Europa,0,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,A,0,S
0006_01,Earth,0,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,F,2,S
0006_02,Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,1,G,0,S
0007_01,Earth,0,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,F,3,S
0008_01,Europa,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,B,1,P
0008_03,Europa,0,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1,B,1,P
0009_01,Mars,0,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1,F,1,P
0010_01,Earth,0,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0,G,1,S
0012_01,Earth,0,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0,,,
0014_01,Mars,0,55 Cancri e,27.0,0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,0,F,3,P
0016_01,Mars,1,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,F,5,P
0017_02,Earth,0,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0,F,6,P
