PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,PassengerId_1,PassengerId_2,IsAlone,Deck,Cabin_num,Side
0001_01,Europa,0,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,0001,01,1,B,0,P
0002_01,Earth,0,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,0002,01,1,F,0,S
0003_01,Europa,0,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,0003,01,0,A,0,S
0003_02,Europa,0,TRAPPIST-1e,33.0,0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0,0003,02,0,A,0,S
0004_01,Earth,0,TRAPPIST-1e,16.0,0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1,0004,01,1,F,1,S
0005_01,Earth,0,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1,0005,01,1,F,0,P
0006_01,Earth,0,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,0006,01,0,F,2,S
0007_01,Earth,0,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,0007,01,1,F,3,S
0008_01,Europa,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,0008,01,0,B,1,P
0008_02,Europa,1,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,1,0008,02,0,B,1,P
0008_03,Europa,0,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1,0008,03,0,B,1,P
0009_01,Mars,0,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1,0009,01,1,F,1,P
0010_01,Earth,0,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0,0010,01,1,G,1,S
0011_01,Earth,0,TRAPPIST-1e,28.0,0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1,0011,01,1,F,2,P
0012_01,Earth,0,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0,0012,01,1,,,
0014_01,Mars,0,55 Cancri e,27.0,0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,0,0014,01,1,F,3,P
0016_01,Mars,1,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,0016,01,1,F,5,P
0017_01,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,0017,01,0,G,0,P
0020_01,Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0,0020,01,0,E,0,S
0020_04,Earth,0,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,0020,04,0,E,0,S
0020_05,Earth,1,PSO J318.5-22,1.0,0,,0.0,0.0,0.0,0.0,Mael Brantuarez,0,0020,05,0,E,0,S
0020_06,Earth,0,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0,0020,06,0,E,0,S
0022_01,Mars,0,TRAPPIST-1e,21.0,0,980.0,2.0,69.0,0.0,0.0,,0,0022,01,1,D,0,P
0024_01,Europa,1,TRAPPIST-1e,62.0,0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,1,0024,01,1,C,2,S
0025_01,Earth,0,TRAPPIST-1e,15.0,0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0,0025,01,1,F,6,S
0026_01,Europa,0,55 Cancri e,34.0,0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0,0026,01,1,C,0,P
0028_01,Mars,0,TRAPPIST-1e,43.0,0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0,0028,01,1,F,8,P
0030_01,Earth,0,TRAPPIST-1e,32.0,0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0,0030,01,1,G,4,S
0031_01,Mars,0,TRAPPIST-1e,47.0,0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,1,0031,01,0,F,9,P
0031_02,Mars,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1,0031,02,0,F,9,P
0031_03,Mars,0,TRAPPIST-1e,20.0,0,,0.0,1750.0,990.0,0.0,Dontch Datie,1,0031,03,0,F,9,P
0034_01,Europa,1,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1,0034,01,1,D,1,S
0035_01,Mars,0,55 Cancri e,23.0,0,784.0,964.0,0.0,951.0,0.0,Luse Butte,0,0035,01,1,D,1,P
0036_01,Earth,0,55 Cancri e,15.0,0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0,0036,01,1,F,8,S
